"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 09:11:30 CEST 2021","Wed Aug 11 09:11:34 CEST 2021","4449","","MWPR_11_DataExportToFile","","MWPR_11_DataExportToFile","exportProductsNameToFile","Data export into file","Save accessories names into txt file"
"passed","Wed Aug 11 09:09:30 CEST 2021","Wed Aug 11 09:09:35 CEST 2021","5192","","MWPR_06_Pagination","","MWPR_06_Pagination","pagination","Pagination","Display products on more pages and gets their names"
"passed","Wed Aug 11 09:11:11 CEST 2021","Wed Aug 11 09:11:20 CEST 2021","8844","","MWPR_10_DataDelete","","MWPR_10_DataDelete","deleteProductFromCart","Data deleting","Delete a product from cart"
"passed","Wed Aug 11 09:08:35 CEST 2021","Wed Aug 11 09:09:00 CEST 2021","24570","","MWPR_04_LoginSuccess","","MWPR_04_LoginSuccess","successfulLogin","Successful login","Do a successful login"
"passed","Wed Aug 11 09:07:50 CEST 2021","Wed Aug 11 09:07:56 CEST 2021","6871","","MWPR_01_RegSuccess","","MWPR_01_RegSuccess","successfulRegistration","Successful registration","Do a successful registration"
"passed","Wed Aug 11 09:10:35 CEST 2021","Wed Aug 11 09:11:02 CEST 2021","27414","","MWPR_09_DataChange","","MWPR_09_DataChange","changingLastName","Data changing","Changing last name"
"passed","Wed Aug 11 09:09:11 CEST 2021","Wed Aug 11 09:09:19 CEST 2021","8398","","MWPR_05_DataListing","","MWPR_05_DataListing","listingAccessoriesFromLowToHighPrice","Data listing","Listing accessories from low to high price"
"passed","Wed Aug 11 09:10:00 CEST 2021","Wed Aug 11 09:10:27 CEST 2021","26342","","MWPR_08_DataSavingFromCSV","","MWPR_08_DataSavingFromCSV","saveAddress","[1] 36th Ave 113, Anchorage, 99501","Filling address form from csv file"
"passed","Wed Aug 11 09:11:44 CEST 2021","Wed Aug 11 09:12:09 CEST 2021","25268","","MWPR_12_LogOutSuccess","","MWPR_12_LogOutSuccess","logOutSuccessful","Log out","Log out"
"passed","Wed Aug 11 09:08:06 CEST 2021","Wed Aug 11 09:08:11 CEST 2021","4809","","MWPR_02_RegFailed","","MWPR_02_RegFailed","failedRegistration","Failed registration","Do a failed registration"
"passed","Wed Aug 11 09:08:21 CEST 2021","Wed Aug 11 09:08:25 CEST 2021","3921","","MWPR_03_LoginFailed","","MWPR_03_LoginFailed","failedLogin","Failed login","Do a failed login"
"passed","Wed Aug 11 09:09:43 CEST 2021","Wed Aug 11 09:09:50 CEST 2021","6573","","MWPR_07_DataSaving","","MWPR_07_DataSaving","saveProductInCart","Data saving","Put a product into cart and check it is saved"
